,NameOfJob,NameOfBusiness,Location,JobType,Salary,Skills,WorkType,Duration,URL
45,Data Analyst,TryHackMe,European Union,Data Analyst,0,"['tableau', 'machine learning', 'analytical', 'sql']",Remote,Full-time,4291965572
46,Data Analyst,TryHackMe,European Union,Data Analyst,0,"['tableau', 'machine learning', 'analytical', 'sql']",Remote,Full-time,4291965572
47,Data Scientist,Outcomes First Group,Bolton,Data Analyst,0,"['power bi', 'bi', 'ai', 'analytical', 'llm', 'machine learning', 'azure', 'relational databases', 'r', 'sql', 'innovation', 'python']",Hybrid,Contract,4295866845
48,Market Data Analyst,Swansea University / Prifysgol Abertawe,Wales,Data Analyst,0,"['power bi', 'bi', 'data visualisation']",On-site,Full-time,4300514263
49,Data Analyst,Wayflyer,London,Data Analyst,0,"['tableau', 'ambitious', 'sql', 'data visualisation', 'python', 'degree', 'collaboration']",Remote,Full-time,4296412813
50,Data and AI Graduate,targetjobs UK,Middlesbrough,Data Analyst,0,"['ai', 'analytical', 'machine learning', 'relational databases', 'pytorch', 'mlops', 'ml', 'pandas', 'azure', 'tensorflow', 'innovation', 'power bi', 'bi', 'nlp', 'python', 'agile', 'sql', 'numpy', 'degree']",On-site,Full-time,4285205040
51,Junior Data Scientist,Verisk,London,Data Analyst,0,"['passion', 'machine learning', 'sql', 'innovation', 'python', 'degree']",Hybrid,Full-time,4296435254
52,Information Analyst,NHS Scotland,Glasgow,Data Analyst,0,['analytical'],Hybrid,Full-time,4298833577
53,Data Scientist,Deliveroo,London,Data Analyst,0,"['passion', 'analytical', 'problem solver', 'machine learning', 'sql', 'python']",empty,Full-time,4220977704
54,Data Scientist,Butternut Box | B Corp,London,Data Analyst,0,"['bi', 'passion', 'sql', 'python']",Hybrid,Full-time,4299773783
55,Data Scientist,Cint,London,Data Analyst,0,"['spark', 'analytical', 'machine learning', 'sql', 'innovation', 'python', 'degree', 'collaboration']",Remote,Full-time,4282189218
